DOCUMENT STATISTICS
Filename,rfc8446.txt
Text Length (chars),346699
Analyzed At,2026-05-08T23:34:20.731158
Total Segments,3714
  Normative,537
  Informative,2070
  Unknown,1107
High Confidence Segments (≥0.7),725
Medium Confidence Segments,2989
Low Confidence Segments (<0.4),0

SEMANTIC EXTRACTION
Total Profiles,49
Average Profile Confidence,70.4%

TERMINOLOGY
Defined Terms,2
Undefined Terms,48
Definition Coverage,4.0%

CONTRADICTIONS
Total Detected,899

#,Type,Confidence,Statement A,Statement B
1,semantic,100.0%,MUST send these messages in alignment with a record boundary.,field is deprecated and MUST be ignored for all purposes.
32,semantic,99.9%,available within the environment.  The selector must be an enumerated,handshake message in an unexpected order MUST abort the handshake
33,semantic,99.9%,implementations MUST use the value sent in the resumption ClientHello,transmitted by the client.  The server MUST generate a fresh value
34,semantic,99.9%,"-  The certificate type MUST be X.509v3 [RFC5280], unless explicitly",validate using any signature algorithm using an MD5 hash MUST abort
35,semantic,99.9%,"-  The certificate type MUST be X.509v3 [RFC5280], unless explicitly",validate using any signature algorithm using an MD5 hash MUST abort
36,semantic,99.9%,"versions of TLS SHOULD support TLS 1.2.  Servers MUST be prepared to
receive ClientHellos that include this extension but do not include","parse the ServerHello in order to read the extension).  If this
extension is present, clients MUST ignore the"
37,semantic,99.9%,this specification and which also support TLS 1.2 MUST negotiate,"TLS 1.3, the client MUST abort the handshake with an"
38,semantic,99.9%,MUST NOT send Handshake and Alert records that have a zero-length,"enforces all-zero padding octets, which allows for quick detection of"
39,semantic,99.9%,ClientHello as its first TLS message.  The client will also send a,"TLS and receives a TLS 1.3 ClientHello in a renegotiation, it MUST
retain the previous protocol version.  In particular, it MUST NOT
negotiate TLS 1.3."
40,semantic,99.9%,"state, this will appear as if it were the first message to be
received.  Servers operating statelessly MUST ignore these records.","extension, then the server MUST abort the handshake with a"
41,semantic,99.9%,length of the AEAD output will generally be larger than the,An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion
42,semantic,99.9%,Any ticket MUST only be resumed with a cipher suite that has the same,"message, a different PSK will be derived for each ticket."
43,semantic,99.9%,The server MUST send a Certificate message whenever the agreed-upon,"suitable certificate is available, the client MUST send a Certificate"
44,semantic,99.9%,-  A client sending a ClientHello MUST support all parameters,-  A server receiving a ClientHello MUST correctly ignore all
45,semantic,99.9%,"In order to accept early data, the server MUST have accepted a PSK","rejects it, the server will generally not have the 0-RTT record
protection keys and must instead use trial decryption (either with"
46,semantic,99.9%,this specification and which also support TLS 1.2 MUST negotiate,"parse the ServerHello in order to read the extension).  If this
extension is present, clients MUST ignore the"
47,semantic,99.9%,handshake message in an unexpected order MUST abort the handshake,"HelloRetryRequest.  In that case, the client MUST send the same"
48,semantic,99.9%,transmitted by the client.  The server MUST generate a fresh value,"receives any other value, it MUST terminate the connection with an"
49,semantic,99.9%,alert has been received MUST be ignored.  If a transport-level close,SHOULD send an appropriate fatal alert and MUST close the connection
50,semantic,99.9%,"Prior to accepting PSK key establishment, the server MUST validate","value is not present or does not validate, the server MUST abort the"
51,semantic,99.9%,If the server successfully selects parameters and does not require a,"When a client first connects to a server, it is REQUIRED to send the"
52,semantic,99.9%,All certificates provided by the server MUST be signed by a signature,"up to this point.  Servers MUST send this message when authenticating
via a certificate.  Clients MUST send this message whenever"
53,semantic,99.9%,"MUST contain exactly one byte, set to zero, which corresponds to",Appendix C for additional information.  The last 8 bytes MUST be
54,semantic,99.9%,certificate request and which will be echoed in the client's,Servers which are authenticating with a PSK MUST NOT send the
55,semantic,99.9%,"state, this will appear as if it were the first message to be
received.  Servers operating statelessly MUST ignore these records.","present, then the parameters in the signature MUST be identical to"
56,semantic,99.9%,"close_notify:  This alert notifies the recipient that the sender will
not send any more messages on this connection.  Any data received
after a closure alert has been received MUST be ignored.","receipt of a fatal alert message, both parties MUST immediately close"
57,semantic,99.9%,-  The certificates MUST be signed using an acceptable signature,"up to this point.  Servers MUST send this message when authenticating
via a certificate.  Clients MUST send this message whenever"
58,semantic,99.9%,This document specifies version 1.3 of the Transport Layer Security,not specify how protocols add security with TLS; how to initiate TLS
59,semantic,99.9%,"HelloRetryRequest.  In that case, the client MUST send the same","does not recognize, support, or wish to use, the server MUST
ignore those cipher suites and process the remaining ones as"
60,semantic,99.9%,Implementations of this specification MUST send this extension in the,"parse the ServerHello in order to read the extension).  If this
extension is present, clients MUST ignore the"
61,semantic,99.9%,"parse the ServerHello in order to read the extension).  If this
extension is present, clients MUST ignore the","ClientHello).  When sending the new ClientHello, the client MUST copy"
62,semantic,99.9%,alert has been received MUST be ignored.  If a transport-level close,"Each party MUST send a ""close_notify"" alert before closing its write"
63,semantic,99.8%,support a compatible (EC)DHE group but do not predict it in the,"not support TLS 1.3, it will respond with a ServerHello containing an"
64,semantic,99.8%,"-  The certificate MUST allow the key to be used for signing (i.e.,
the digitalSignature bit MUST be set if the Key Usage extension is","up to this point.  Servers MUST send this message when authenticating
via a certificate.  Clients MUST send this message whenever"
65,semantic,99.8%,not be able to distinguish these cases from allowed cases).,MUST send these messages in alignment with a record boundary.
66,semantic,99.8%,Appendix C for additional information.  The last 8 bytes MUST be,it sent in the ClientHello MUST abort the handshake with an
67,semantic,99.8%,"if previous versions of TLS are allowed to be negotiated, they MUST
be present as well).","parse the ServerHello in order to read the extension).  If this
extension is present, clients MUST ignore the"
68,semantic,99.8%,"parse the ServerHello in order to read the extension).  If this
extension is present, clients MUST ignore the",The length of the Salt MUST be equal to the length of the output
69,semantic,99.8%,and receive Application Data over the connection.  There are two,"Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This"
70,semantic,99.8%,"-  When (EC)DHE is in use, the server will also provide a ""key_share""","Because TLS 1.3 forbids renegotiation, if a server has negotiated"
71,semantic,99.8%,"extension, then the server MUST abort the handshake with a","it MUST use the RSASSA-PSS OID [RFC5756].  When used in
certificate signatures, the algorithm parameters MUST be DER"
72,semantic,99.8%,"-  The certificate type MUST be X.509v3 [RFC5280], unless explicitly","up to this point.  Servers MUST send this message when authenticating
via a certificate.  Clients MUST send this message whenever"
73,semantic,99.8%,"certificates and decides to abort the handshake, then it MUST abort","up to this point.  Servers MUST send this message when authenticating
via a certificate.  Clients MUST send this message whenever"
74,semantic,99.8%,"up to this point.  Servers MUST send this message when authenticating
via a certificate.  Clients MUST send this message whenever","Recipients of Finished messages MUST verify that the contents are
correct and if incorrect MUST terminate the connection with a"
75,semantic,99.8%,server to authenticate itself via a certificate MUST send the,"it MUST use the RSASSA-PSS OID [RFC5756].  When used in
certificate signatures, the algorithm parameters MUST be DER"
76,semantic,99.7%,"servers MUST be prepared for some delay, including receiving an","receives any other value, it MUST terminate the connection with an"
77,semantic,99.7%,Appendix C for additional information.  The last 8 bytes MUST be,cipher suite that was not offered MUST abort the handshake with an
78,semantic,99.7%,MUST NOT be used in any signatures of CertificateVerify messages.,handshake messages and are not included in the hash computations.
79,semantic,99.7%,The client and the server must share knowledge that the connection is,alert has been received MUST be ignored.  If a transport-level close
80,semantic,99.7%,"The server's certificate_list MUST always be non-empty.  A client
will send an empty certificate_list if it does not have an","response, the body of its ""status_request"" extension MUST be a"
81,semantic,99.7%,support TLS 1.3 will send a normal TLS 1.3 ClientHello containing,"will respond to the ClientHello with an older ServerHello, but it
will not correctly skip the 0-RTT data and will fail to complete the"
82,semantic,99.7%,"When a client first connects to a server, it is REQUIRED to send the","does not recognize, support, or wish to use, the server MUST
ignore those cipher suites and process the remaining ones as"
83,semantic,99.7%,T1 f1 = 8;  /* T.f1 must always be 8 */,handshake message in an unexpected order MUST abort the handshake
84,semantic,99.7%,"receive TLS 1.2 or prior ClientHellos which contain other
compression methods and (if negotiating such a prior version) MUST
follow the procedures for the appropriate prior version of TLS.",it sent in the ClientHello MUST abort the handshake with an
85,semantic,99.7%,"HRR (HelloRetryRequest).  If an implementation receives an extension
which it recognizes and which is not specified for the message in
which it appears, it MUST abort the handshake with an",Implementations of this specification MUST send this extension in the
86,semantic,99.7%,The length of the Salt MUST be equal to the length of the output,"it MUST use the RSASSA-PSS OID [RFC5756].  When used in
certificate signatures, the algorithm parameters MUST be DER"
87,semantic,99.6%,The server will send this message in response to a ClientHello,"but the remaining bytes MUST be random.  This structure is
generated by the server and MUST be generated independently of the"
88,semantic,99.6%,and which receives a TLS 1.3 ServerHello during renegotiation MUST,"process the extensions, starting with determining the version using
""supported_versions"".  Clients MUST abort the handshake with an"
89,semantic,99.6%,"negotiation, then this will happen automatically).  Upon receiving
the ServerHello, clients MUST check that the cipher suite supplied in","receiving such an extension, an endpoint MUST abort the handshake"
90,semantic,99.6%,validate using any signature algorithm using an MD5 hash MUST abort,"up to this point.  Servers MUST send this message when authenticating
via a certificate.  Clients MUST send this message whenever"
91,semantic,99.6%,"parse the ServerHello in order to read the extension).  If this
extension is present, clients MUST ignore the",server to authenticate itself via a certificate MUST send the
92,semantic,99.6%,"this field MUST be non-empty, so a client not offering a
pre-TLS 1.3 session MUST generate a new 32-byte value.  This value",a server MUST check that the message either contains no data after
93,semantic,99.6%,"If the server supplies an empty Certificate message, the client MUST
abort the handshake with a ""decode_error"" alert.","up to this point.  Servers MUST send this message when authenticating
via a certificate.  Clients MUST send this message whenever"
94,semantic,99.6%,The server MUST send a Certificate message whenever the agreed-upon,field having length 0).  A Finished message MUST be sent regardless
95,semantic,99.6%,"up to this point.  Servers MUST send this message when authenticating
via a certificate.  Clients MUST send this message whenever","If the verification fails, the receiver MUST terminate the handshake"
96,semantic,99.5%,support TLS 1.3 will send a normal TLS 1.3 ClientHello containing,"""supported_versions"" extension is not present, the server MUST
negotiate the minimum of ClientHello.legacy_version and TLS 1.2.  For"
97,semantic,99.5%,Any ticket MUST only be resumed with a cipher suite that has the same,that reject early data due to lack of cryptographic material will
98,semantic,99.5%,"state, this will appear as if it were the first message to be
received.  Servers operating statelessly MUST ignore these records.",The length of the Salt MUST be equal to the length of the digest
99,semantic,99.5%,"state, this will appear as if it were the first message to be
received.  Servers operating statelessly MUST ignore these records.",The length of the Salt MUST be equal to the length of the output
100,semantic,99.5%,"parse the ServerHello in order to read the extension).  If this
extension is present, clients MUST ignore the","TLS 1.3, the client MUST abort the handshake with an"
101,semantic,99.5%,"must still be handled at the TLS layer, though.  Later documents may",alert has been received MUST be ignored.  If a transport-level close
102,semantic,99.5%,implementation MUST send alert X if it sends any alert.  All alerts,message not containing an extension that is mandatory to send for
103,semantic,99.5%,messages for a given response MUST appear consecutively on the wire,"servers MUST be prepared for some delay, including receiving an"
104,semantic,99.5%,A server which negotiates a version of TLS prior to TLS 1.3 MUST set,"parse the ServerHello in order to read the extension).  If this
extension is present, clients MUST ignore the"
105,semantic,99.5%,OIDs.  If the client ignored some of the required certificate,extension to the client.  Clients MUST NOT act upon any information
106,semantic,99.5%,cipher suite that was not offered MUST abort the handshake with an,response to a ClientHello MUST set the last 8 bytes of their Random
107,semantic,99.5%,The client and the server must share knowledge that the connection is,"close_notify:  This alert notifies the recipient that the sender will
not send any more messages on this connection.  Any data received
after a closure alert has been received MUST be ignored."
108,semantic,99.4%,"ClientHello).  When sending the new ClientHello, the client MUST copy","it MUST use the RSASSA-PSS OID [RFC5756].  When used in
certificate signatures, the algorithm parameters MUST be DER"
109,semantic,99.4%,alert has been received MUST be ignored.  If a transport-level close,implementation MUST send alert X if it sends any alert.  All alerts
110,semantic,99.4%,"up to this point.  Servers MUST send this message when authenticating
via a certificate.  Clients MUST send this message whenever",The receiver of a CertificateVerify message MUST verify the signature
111,semantic,99.4%,"process the extensions, starting with determining the version using
""supported_versions"".  Clients MUST abort the handshake with an","was itself in response to a HelloRetryRequest), it MUST abort the
handshake with an ""unexpected_message"" alert."
112,semantic,99.4%,"""supported_versions"" extension is not present, the server MUST
negotiate the minimum of ClientHello.legacy_version and TLS 1.2.  For","change_cipher_spec at any time during the handshake, as they must be"
113,semantic,99.4%,appear at a point at the handshake where the implementation is,-  Handshake messages MUST NOT be interleaved with other record
114,semantic,99.3%,"state, this will appear as if it were the first message to be
received.  Servers operating statelessly MUST ignore these records.",server to authenticate itself via a certificate MUST send the
115,semantic,99.3%,"parse the ServerHello in order to read the extension).  If this
extension is present, clients MUST ignore the","extension, then the server MUST abort the handshake with a"
116,semantic,99.3%,The length of the Salt MUST be equal to the length of the digest,"it MUST use the RSASSA-PSS OID [RFC5756].  When used in
certificate signatures, the algorithm parameters MUST be DER"
117,semantic,99.3%,"it MUST use the RSASSA-PSS OID [RFC5756].  When used in
certificate signatures, the algorithm parameters MUST be DER",offering these values MUST list them as the lowest priority
118,semantic,99.3%,which is different from an existing record which will be accepted,to cause the receiver to accept a record which it has already
119,semantic,99.2%,"it MUST use the RSASSA-PSS OID [RFC5756].  When used in
certificate signatures, the algorithm parameters MUST be DER",mandatory in TLS 1.3) MUST be prepared to accept a signature using
120,semantic,99.2%,a server MUST check that the message either contains no data after,cipher suite that was not offered MUST abort the handshake with an
121,semantic,99.2%,the client MUST send an EndOfEarlyData message after receiving the,implementations MUST use the value sent in the resumption ClientHello
122,semantic,99.2%,"TLS 1.3, the client MUST abort the handshake with an","state, this will appear as if it were the first message to be
received.  Servers operating statelessly MUST ignore these records."
123,semantic,99.1%,"then each side will also send a response, with the result that each",-  Handshake messages MUST NOT be interleaved with other record
124,semantic,99.1%,"parse the ServerHello in order to read the extension).  If this
extension is present, clients MUST ignore the","state, this will appear as if it were the first message to be
received.  Servers operating statelessly MUST ignore these records."
125,semantic,99.1%,Servers MUST check that it is the last extension and otherwise fail,"certificates.  The client MUST check EncryptedExtensions for the
presence of any forbidden extensions and if any are found MUST abort"
126,semantic,99.0%,server to authenticate itself via a certificate MUST send the,"extension, then the server MUST abort the handshake with a"
127,semantic,99.0%,The receiver of a CertificateVerify message MUST verify the signature,Any records following a Finished message MUST be encrypted under the
128,semantic,99.0%,"receives any other value, it MUST terminate the connection with an",receiver MUST send a KeyUpdate of its own with request_update set to
129,semantic,99.0%,"not support TLS 1.3, it will respond with a ServerHello containing an","(or is not acceptable), the client MUST abort the handshake with a"
130,semantic,98.9%,"receive TLS 1.2 or prior ClientHellos which contain other
compression methods and (if negotiating such a prior version) MUST
follow the procedures for the appropriate prior version of TLS.",cipher suite that was not offered MUST abort the handshake with an
131,semantic,98.9%,If the server successfully selects parameters and does not require a,"-  When authenticating via a certificate, the server will send the"
132,semantic,98.9%,AlertLevel=fatal and MUST be treated as error alerts when received,alert has been received MUST be ignored.  If a transport-level close
133,semantic,98.9%,a server MUST check that the message either contains no data after,it sent in the ClientHello MUST abort the handshake with an
134,semantic,98.9%,"message, a different PSK will be derived for each ticket.","and Finished.  If it declines, it MUST send a Certificate message"
135,semantic,98.8%,"server MUST abort the handshake with a ""handshake_failure"" or an",If the server successfully selects parameters and does not require a
136,semantic,98.8%,"Upon receipt of a HelloRetryRequest, the client MUST check the","receiving such an extension, an endpoint MUST abort the handshake"
137,semantic,98.8%,"curve.  If TLS 1.2 is negotiated, implementations MUST be prepared
to accept a signature that uses any curve that they advertised in",mandatory in TLS 1.3) MUST be prepared to accept a signature using
138,semantic,98.8%,"(or is not acceptable), the client MUST abort the handshake with a","legacy_version is TLS 1.0, the server will proceed with a TLS 1.0"
139,semantic,98.8%,"-  The certificate MUST allow the key to be used for signing (i.e.,
the digitalSignature bit MUST be set if the Key Usage extension is","certificates and decides to abort the handshake, then it MUST abort"
140,semantic,98.7%,"well.  Extensions in the Certificate message from the server MUST
correspond to ones from the ClientHello message.  Extensions in
the Certificate message from the client MUST correspond to","response, the body of its ""status_request"" extension MUST be a"
141,semantic,98.6%,multiple zones where tickets from zone A will not be accepted in,guarantee that the 0-RTT data is accepted at most once.  Servers
142,semantic,98.6%,"-  If containing a ""supported_groups"" extension, it MUST also contain",-  A server receiving a ClientHello MUST correctly ignore all
143,semantic,98.6%,A server which negotiates a version of TLS prior to TLS 1.3 MUST set,"TLS 1.3, the client MUST abort the handshake with an"
144,semantic,98.6%,"find a non-zero octet in the cleartext, it MUST terminate the",alert has been received MUST be ignored.  If a transport-level close
145,semantic,98.5%,"TLS to first hash the input with a specified hash algorithm and then
proceed as usual.  The code point groups listed above have the","it MUST use the RSASSA-PSS OID [RFC5756].  When used in
certificate signatures, the algorithm parameters MUST be DER"
146,semantic,98.4%,The length of the Salt MUST be equal to the length of the digest,"curve.  If TLS 1.2 is negotiated, implementations MUST be prepared
to accept a signature that uses any curve that they advertised in"
147,semantic,98.4%,field having length 0).  A Finished message MUST be sent regardless,"well.  Extensions in the Certificate message from the server MUST
correspond to ones from the ClientHello message.  Extensions in
the Certificate message from the client MUST correspond to"
148,semantic,98.4%,"and Finished.  If it declines, it MUST send a Certificate message",and before the peer's Finished message has been received and MUST
149,semantic,98.3%,"Upon receiving a message with type server_hello, implementations MUST
first examine the Random value and, if it matches this value, process",MUST check that the last 8 bytes are not equal to either of these
150,semantic,98.2%,"HRR (HelloRetryRequest).  If an implementation receives an extension
which it recognizes and which is not specified for the message in
which it appears, it MUST abort the handshake with an","versions of TLS SHOULD support TLS 1.2.  Servers MUST be prepared to
receive ClientHellos that include this extension but do not include"
151,semantic,98.2%,"enforces all-zero padding octets, which allows for quick detection of","find a non-zero octet in the cleartext, it MUST terminate the"
152,semantic,98.2%,"this field MUST be non-empty, so a client not offering a
pre-TLS 1.3 session MUST generate a new 32-byte value.  This value","block with no data following.  If not, then it MUST abort the
handshake with a ""decode_error"" alert."
153,semantic,98.1%,"PSK the server ultimately selects.  The client will need to compute
one for each potential PSK; if no PSK is selected, it will then need
to compute the Early Secret corresponding to the zero PSK.","deployments will maintain state at that level.  Therefore, in normal
operation, clients will not know which, if any, of these mechanisms
servers actually implement and hence MUST only send early data which"
154,semantic,98.1%,handshake when the server does not have any information about the,"identity will result in a failed handshake, whereas an invalid
identity will just be skipped and result in a successful certificate"
155,semantic,98.0%,"""supported_versions"" extension is not present, the server MUST
negotiate the minimum of ClientHello.legacy_version and TLS 1.2.  For","legacy_version is TLS 1.0, the server will proceed with a TLS 1.0"
156,semantic,98.0%,"request a certificate from the client.  This message, if sent, MUST
follow EncryptedExtensions.",The server MUST send a Certificate message whenever the agreed-upon
157,semantic,97.9%,Any records following a Finished message MUST be encrypted under the,transmitted by the client.  The server MUST generate a fresh value
158,semantic,97.7%,prevent an attacker who has temporary access to the client's,"well.  Extensions in the Certificate message from the server MUST
correspond to ones from the ClientHello message.  Extensions in
the Certificate message from the client MUST correspond to"
159,semantic,97.5%,"If the server supplies an empty Certificate message, the client MUST
abort the handshake with a ""decode_error"" alert.","is non-empty).  When sent, this message MUST appear immediately after"
160,semantic,97.4%,"find a non-zero octet in the cleartext, it MUST terminate the","close_notify:  This alert notifies the recipient that the sender will
not send any more messages on this connection.  Any data received
after a closure alert has been received MUST be ignored."
161,semantic,97.3%,"TLS 1.3, the client MUST abort the handshake with an",server to authenticate itself via a certificate MUST send the
162,semantic,97.2%,"Upon receipt of a HelloRetryRequest, the client MUST check the","negotiation, then this will happen automatically).  Upon receiving
the ServerHello, clients MUST check that the cipher suite supplied in"
163,semantic,97.2%,"also implement data stores with false positives, such as Bloom
filters, in which case they MUST respond to apparent replay by
rejecting 0-RTT but MUST NOT abort the handshake.",zone will accept 0-RTT data.  A weaker design is to implement
164,semantic,97.1%,clients MUST forget the secret values and keys established in failed,"Each party MUST send a ""close_notify"" alert before closing its write"
165,semantic,97.0%,The server MUST send a Certificate message whenever the agreed-upon,"well.  Extensions in the Certificate message from the server MUST
correspond to ones from the ClientHello message.  Extensions in
the Certificate message from the client MUST correspond to"
166,semantic,96.9%,"-  If not containing a ""pre_shared_key"" extension, it MUST contain",-  A server receiving a ClientHello MUST correctly ignore all
167,semantic,96.9%,MUST check that the last 8 bytes are not equal to either of these,"process the extensions, starting with determining the version using
""supported_versions"".  Clients MUST abort the handshake with an"
168,semantic,96.8%,"but the remaining bytes MUST be random.  This structure is
generated by the server and MUST be generated independently of the","If negotiating TLS 1.2, TLS 1.3 servers MUST set the last 8 bytes of"
169,semantic,96.4%,"must still be handled at the TLS layer, though.  Later documents may",clients MUST forget the secret values and keys established in failed
170,semantic,96.2%,"state, this will appear as if it were the first message to be
received.  Servers operating statelessly MUST ignore these records.","it MUST use the RSASSA-PSS OID [RFC5756].  When used in
certificate signatures, the algorithm parameters MUST be DER"
171,semantic,95.9%,"still require consistent storage for anti-replay of 0-RTT data, as","the storage key, then this ClientHello will not appear as a
duplicate, which will cause the ClientHello to be accepted, and may
cause side effects such as replay cache pollution, although any 0-RTT
data will not be decryptable because it will use different keys.  If"
172,semantic,95.9%,"0x0303 (TLS 1.2).  Clients MUST check for this extension prior to
processing the rest of the ServerHello (although they will have to","TLS 1.3, the client MUST abort the handshake with an"
173,semantic,95.8%,transmitted by the client.  The server MUST generate a fresh value,"and Finished.  If it declines, it MUST send a Certificate message"
174,semantic,95.8%,Any records following a Finished message MUST be encrypted under the,implementations MUST use the value sent in the resumption ClientHello
175,semantic,95.8%,guarantee that the 0-RTT data is accepted at most once.  Servers,"the storage key, then this ClientHello will not appear as a
duplicate, which will cause the ClientHello to be accepted, and may
cause side effects such as replay cache pollution, although any 0-RTT
data will not be decryptable because it will use different keys.  If"
176,semantic,95.7%,"HelloRetryRequest.  In that case, the client MUST send the same","TLS 1.3 and receives a ClientHello at any other time, it MUST
terminate the connection with an ""unexpected_message"" alert."
177,semantic,95.4%,transmitted by the client.  The server MUST generate a fresh value,"servers MUST be prepared for some delay, including receiving an"
178,semantic,95.0%,"also implement data stores with false positives, such as Bloom
filters, in which case they MUST respond to apparent replay by
rejecting 0-RTT but MUST NOT abort the handshake.","the storage key, then this ClientHello will not appear as a
duplicate, which will cause the ClientHello to be accepted, and may
cause side effects such as replay cache pollution, although any 0-RTT
data will not be decryptable because it will use different keys.  If"
179,semantic,94.7%,"of [RFC6066]), with the server being required to enforce that the SNI
value associated with the session matches the one specified in the",Clients MUST verify that the server's selected_identity is within the
180,semantic,94.2%,"must still be handled at the TLS layer, though.  Later documents may","close_notify:  This alert notifies the recipient that the sender will
not send any more messages on this connection.  Any data received
after a closure alert has been received MUST be ignored."
181,semantic,94.2%,The length of the Salt MUST be equal to the length of the output,"curve.  If TLS 1.2 is negotiated, implementations MUST be prepared
to accept a signature that uses any curve that they advertised in"
182,semantic,93.8%,"Prior to accepting PSK key establishment, the server MUST validate","The ""pre_shared_key"" extension MUST be the last extension in the"
183,semantic,93.5%,"and Finished.  If it declines, it MUST send a Certificate message","message MUST terminate the connection with an ""unexpected_message""
alert.  After sending a KeyUpdate message, the sender SHALL send all"
184,semantic,93.5%,AlertLevel=fatal and MUST be treated as error alerts when received,"close_notify:  This alert notifies the recipient that the sender will
not send any more messages on this connection.  Any data received
after a closure alert has been received MUST be ignored."
185,semantic,93.4%,"MUST be specified, and other extensions may optionally be included","well.  Extensions in the Certificate message from the server MUST
correspond to ones from the ClientHello message.  Extensions in
the Certificate message from the client MUST correspond to"
